valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
194750.0,31860,Appartement,80.0,4.0,0.0,0
189790.0,31860,Appartement,65.0,3.0,0.0,0
139190.0,31380,Appartement,44.0,2.0,0.0,0
193027.34,31380,Appartement,82.0,4.0,0.0,0
179600.0,31380,Appartement,62.0,3.0,0.0,0
247968.48,31110,Appartement,60.0,3.0,0.0,0
14000.0,31110,Appartement,22.0,2.0,0.0,0
89430.0,31110,Appartement,59.0,3.0,0.0,0
102500.0,31110,Appartement,62.0,3.0,0.0,0
84000.0,31110,Appartement,48.0,3.0,0.0,0
134755.0,31110,Appartement,39.0,2.0,0.0,0
267570.0,31110,Appartement,59.0,3.0,0.0,0
325000.0,31110,Appartement,30.0,2.0,500.0,1
90000.0,31110,Appartement,35.0,1.0,40.0,1
143150.0,31110,Appartement,41.0,3.0,0.0,0
82568.0,31110,Appartement,45.0,2.0,0.0,0
165000.0,31110,Appartement,32.0,2.0,876.0,1
55000.0,31440,Appartement,36.0,2.0,255.0,1
210000.0,31650,Appartement,63.0,3.0,0.0,0
159500.0,31650,Appartement,64.0,3.0,0.0,0
233000.0,31650,Appartement,62.0,3.0,0.0,0
190860.0,31650,Appartement,73.0,3.0,0.0,0
154490.0,31650,Appartement,48.0,2.0,0.0,0
112000.0,31650,Appartement,45.0,2.0,0.0,0
97500.0,31650,Appartement,38.0,2.0,0.0,0
114000.0,31650,Appartement,46.0,2.0,0.0,0
112000.0,31650,Appartement,43.0,2.0,0.0,0
238450.0,31650,Appartement,65.0,3.0,0.0,0
112000.0,31650,Appartement,44.0,2.0,0.0,0
156000.0,31650,Appartement,61.0,3.0,0.0,0
93000.0,31650,Appartement,38.0,2.0,0.0,0
238583.0,31650,Appartement,66.0,3.0,0.0,0
159000.0,31650,Appartement,64.0,3.0,0.0,0
220000.0,31650,Appartement,92.0,4.0,0.0,0
169000.0,31650,Appartement,49.0,2.0,0.0,0
163000.0,31650,Appartement,64.0,3.0,0.0,0
247500.0,31650,Appartement,79.0,4.0,0.0,0
236500.0,31650,Appartement,65.0,3.0,0.0,0
149000.0,31650,Appartement,53.0,3.0,0.0,0
140970.0,31650,Appartement,45.0,2.0,0.0,0
164516.0,31650,Appartement,44.0,2.0,0.0,0
72445.0,31650,Appartement,21.0,1.0,0.0,0
113500.0,31650,Appartement,38.0,2.0,0.0,0
196300.0,31650,Appartement,66.0,3.0,0.0,0
177500.0,31650,Appartement,55.0,3.0,0.0,0
133100.0,31650,Appartement,32.0,2.0,0.0,0
274860.0,31650,Appartement,84.0,4.0,0.0,0
386000.0,31650,Appartement,79.0,4.0,0.0,0
210500.0,31650,Appartement,65.0,3.0,0.0,0
154500.0,31650,Appartement,47.0,2.0,0.0,0
120000.0,31650,Appartement,51.0,2.0,0.0,0
202500.0,31650,Appartement,61.0,3.0,0.0,0
170000.0,31650,Appartement,48.0,2.0,0.0,0
180000.0,31650,Appartement,65.0,3.0,0.0,0
167250.0,31650,Appartement,44.0,2.0,0.0,0
199020.0,31650,Appartement,63.0,3.0,0.0,0
301000.0,31650,Appartement,94.0,4.0,0.0,0
85000.0,31650,Appartement,31.0,2.0,0.0,0
292000.0,31650,Appartement,86.0,4.0,0.0,0
120000.0,31650,Appartement,45.0,2.0,0.0,0
185800.0,31650,Appartement,63.0,3.0,0.0,0
