valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
122880.0,31700,Beauzelle,Appartement,76.0,4.0,,0.0
153198.36,31700,Beauzelle,Appartement,65.0,3.0,,0.0
161930.0,31700,Beauzelle,Appartement,58.0,3.0,,0.0
147000.0,31700,Beauzelle,Appartement,48.0,2.0,,0.0
189000.0,31700,Beauzelle,Appartement,93.0,5.0,,0.0
119388.49,31700,Beauzelle,Appartement,45.0,2.0,,0.0
130000.0,31700,Beauzelle,Appartement,44.0,2.0,,0.0
135000.0,31700,Beauzelle,Appartement,44.0,2.0,,0.0
155000.0,31700,Beauzelle,Appartement,48.0,2.0,,0.0
283370.0,31700,Beauzelle,Appartement,86.0,4.0,,0.0
113850.0,31700,Beauzelle,Appartement,43.0,2.0,,0.0
114000.0,31700,Beauzelle,Appartement,76.0,4.0,,0.0
116680.0,31700,Beauzelle,Appartement,42.0,2.0,,0.0
210000.0,31700,Beauzelle,Appartement,65.0,3.0,,0.0
189500.0,31700,Beauzelle,Appartement,93.0,5.0,,0.0
170000.0,31700,Beauzelle,Appartement,64.0,3.0,,0.0
160000.0,31700,Beauzelle,Appartement,93.0,5.0,,0.0
114900.0,31700,Beauzelle,Appartement,41.0,2.0,,0.0
178600.0,31700,Beauzelle,Appartement,57.0,3.0,,0.0
133650.0,31700,Beauzelle,Appartement,42.0,2.0,,0.0
310000.0,31700,Beauzelle,Appartement,93.0,4.0,,0.0
187050.0,31700,Beauzelle,Appartement,64.0,3.0,,0.0
120000.0,31700,Beauzelle,Appartement,44.0,2.0,,0.0
129250.0,31700,Beauzelle,Appartement,40.0,2.0,,0.0
160000.0,31700,Beauzelle,Appartement,62.0,3.0,,0.0
44000.0,31700,Beauzelle,Appartement,60.0,3.0,,0.0
172000.0,31700,Beauzelle,Appartement,90.0,4.0,,0.0
168000.0,31700,Beauzelle,Appartement,66.0,3.0,,0.0
135000.0,31700,Beauzelle,Appartement,76.0,4.0,,0.0
132000.0,31700,Beauzelle,Appartement,45.0,2.0,,0.0
145950.0,31700,Beauzelle,Appartement,43.0,2.0,,0.0
156000.0,31700,Beauzelle,Appartement,53.0,3.0,,0.0
180000.0,31700,Beauzelle,Appartement,65.0,3.0,,0.0
210000.0,31700,Beauzelle,Appartement,66.0,3.0,,0.0
220000.0,31700,Beauzelle,Appartement,61.0,3.0,,0.0
249100.0,31700,Beauzelle,Appartement,70.0,3.0,,0.0
133150.0,31700,Beauzelle,Appartement,49.0,2.0,,0.0
187500.0,31700,Beauzelle,Appartement,64.0,3.0,,0.0
260000.0,31700,Beauzelle,Appartement,87.0,4.0,,0.0
126000.0,31700,Beauzelle,Appartement,45.0,2.0,,0.0
226000.0,31700,Beauzelle,Appartement,83.0,4.0,,0.0
189000.0,31700,Beauzelle,Appartement,64.0,3.0,,0.0
215560.0,31700,Beauzelle,Appartement,63.0,3.0,,0.0
118000.0,31700,Beauzelle,Appartement,43.0,2.0,,0.0
120000.0,31700,Beauzelle,Appartement,76.0,4.0,,0.0
119900.0,31170,Tournefeuille,Appartement,45.0,2.0,,0.0
246200.0,31170,Tournefeuille,Appartement,70.0,3.0,,0.0
155000.0,31170,Tournefeuille,Appartement,58.0,2.0,,0.0
150000.0,31170,Tournefeuille,Appartement,45.0,2.0,,0.0
253900.0,31170,Tournefeuille,Appartement,66.0,3.0,,0.0
115000.0,31170,Tournefeuille,Appartement,43.0,2.0,,0.0
152000.0,31170,Tournefeuille,Appartement,51.0,3.0,,0.0
115000.0,31170,Tournefeuille,Appartement,33.0,2.0,,0.0
203000.0,31170,Tournefeuille,Appartement,60.0,3.0,,0.0
128000.0,31170,Tournefeuille,Appartement,50.0,2.0,,0.0
447208.0,31170,Tournefeuille,Appartement,138.0,5.0,,0.0
217346.16,31170,Tournefeuille,Appartement,60.0,3.0,,0.0
