id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-366455,2023-01-30,000001,Vente,888055,,,LES DAURIDES,B006,31120,31227,Goyrans,31,,,312270000C0413,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,844,1.430602,43.479191
2023-366455,2023-01-30,000001,Vente,888055,24,,CHE DES RIVALS,0002,31120,31227,Goyrans,31,,,312270000C0733,,,,,,,,,,,,,0,1,Maison,190,4,S,sols,,,1000,1.430873,43.479356
2023-366455,2023-01-30,000001,Vente,888055,24,,CHE DES RIVALS,0002,31120,31227,Goyrans,31,,,312270000C0733,,,,,,,,,,,,,0,1,Maison,190,4,AG,terrains d'agrément,PARC,Parc,1000,1.430873,43.479356
2023-370606,2023-04-06,000001,Vente,815730.2,142,,CHE DES CRETES,0001,31120,31227,Goyrans,31,,,312270000A0562,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,845,1.427499,43.484616
2023-370606,2023-04-06,000001,Vente,815730.2,142,,CHE DES CRETES,0001,31120,31227,Goyrans,31,,,312270000A0562,,,,,,,,,,,,,0,1,Maison,196,5,S,sols,,,845,1.427499,43.484616
2023-371388,2023-04-14,000001,Vente,653500,25,,LOT LA MAISON,A001,31120,31227,Goyrans,31,,,312270000A0307,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1601,1.42415,43.478361
2023-371388,2023-04-14,000001,Vente,653500,25,,LOT LA MAISON,A001,31120,31227,Goyrans,31,,,312270000A0307,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1601,1.42415,43.478361
2023-371388,2023-04-14,000001,Vente,653500,25,,LOT LA MAISON,A001,31120,31227,Goyrans,31,,,312270000A0307,,,,,,,,,,,,,0,1,Maison,256,6,S,sols,,,1601,1.42415,43.478361
2023-372342,2023-05-17,000001,Vente,7500,,,LES ROCHES,B016,31120,31227,Goyrans,31,,,312270000A0001,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,5839,1.412184,43.493783
2023-372342,2023-05-17,000001,Vente,7500,,,BALANDRA,B002,31120,31227,Goyrans,31,,,312270000A0066,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,6000,1.414374,43.48598
2023-372342,2023-05-17,000001,Vente,7500,,,BALANDRA,B002,31120,31227,Goyrans,31,,,312270000A0067,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3498,1.414,43.485877
2023-372350,2023-05-17,000001,Vente,4000,,,LES ROCHES,B016,31120,31227,Goyrans,31,,,312270000A0040,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,7569,1.415318,43.48949
2023-375679,2023-07-11,000001,Vente,328800,24,,LOT LA MAISON,A001,31120,31227,Goyrans,31,,,312270000A0398,,,,,,,,,,,,,0,1,Maison,83,3,S,sols,,,1235,1.423811,43.478687
2023-380615,2023-09-27,000001,Vente,5000,,,LA COTE DU MOULIN,B005,31120,31227,Goyrans,31,,,312270000C0006,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,5730,1.423595,43.476196
2023-386186,2023-12-26,000001,Vente,590000,8,,IMP DES PALOMBES,0028,31120,31227,Goyrans,31,,,312270000C0571,,,,,,,,,,,,,0,1,Maison,174,7,AG,terrains d'agrément,PARC,Parc,1907,1.432599,43.473965
2023-386186,2023-12-26,000001,Vente,590000,8,,IMP DES PALOMBES,0028,31120,31227,Goyrans,31,,,312270000C0571,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,1.432599,43.473965
2023-386186,2023-12-26,000001,Vente,590000,8,,IMP DES PALOMBES,0028,31120,31227,Goyrans,31,,,312270000C0571,,,,,,,,,,,,,0,1,Maison,174,7,S,sols,,,1000,1.432599,43.473965
2023-386186,2023-12-26,000001,Vente,590000,8,,IMP DES PALOMBES,0028,31120,31227,Goyrans,31,,,312270000C0571,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,PARC,Parc,1907,1.432599,43.473965
