valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
236250.0,31160,Couret,Maison,121.0,4.0,sols,745.0
132000.0,31160,Couret,Maison,46.0,2.0,terrains d'agrément,1149.0
60000.0,31160,Couret,Maison,106.0,3.0,sols,350.0
190000.0,31160,Couret,Maison,112.0,4.0,sols,565.0
235000.0,31470,Saiguède,Maison,85.0,3.0,sols,600.0
255050.0,31470,Saiguède,Maison,106.0,5.0,sols,500.0
467550.0,31470,Saiguède,Maison,168.0,6.0,sols,1590.0
372000.0,31470,Saiguède,Maison,105.0,4.0,sols,1000.0
273850.0,31470,Saiguède,Maison,96.0,4.0,sols,801.0
255000.0,31470,Saiguède,Maison,88.0,4.0,sols,1114.0
200000.0,31470,Saiguède,Maison,78.0,3.0,jardins,1000.0
260000.0,31230,Mauvezin,Maison,135.0,3.0,sols,1855.0
420000.0,31700,Beauzelle,Maison,86.0,4.0,sols,1125.0
122880.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0
153198.36,31700,Beauzelle,Appartement,65.0,3.0,None,0.0
161930.0,31700,Beauzelle,Appartement,58.0,3.0,None,0.0
229230.0,31700,Beauzelle,Maison,67.0,3.0,sols,138.0
147000.0,31700,Beauzelle,Appartement,48.0,2.0,None,0.0
450000.0,31700,Beauzelle,Maison,145.0,4.0,sols,656.0
411000.0,31700,Beauzelle,Maison,115.0,5.0,sols,640.0
189000.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0
119388.49,31700,Beauzelle,Appartement,45.0,2.0,None,0.0
130000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0
135000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0
155000.0,31700,Beauzelle,Appartement,48.0,2.0,None,0.0
283370.0,31700,Beauzelle,Appartement,86.0,4.0,None,0.0
370000.0,31700,Beauzelle,Maison,88.0,4.0,sols,448.0
113850.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0
353765.0,31700,Beauzelle,Maison,116.0,5.0,sols,390.0
260100.0,31700,Beauzelle,Maison,85.0,5.0,sols,408.0
421000.0,31700,Beauzelle,Maison,107.0,5.0,sols,599.0
114000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0
116680.0,31700,Beauzelle,Appartement,42.0,2.0,None,0.0
210000.0,31700,Beauzelle,Appartement,65.0,3.0,None,0.0
189500.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0
323940.0,31700,Beauzelle,Maison,91.0,4.0,sols,205.0
170000.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0
160000.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0
375150.0,31700,Beauzelle,Maison,90.0,3.0,sols,653.0
512040.0,31700,Beauzelle,Maison,125.0,5.0,sols,651.0
114900.0,31700,Beauzelle,Appartement,41.0,2.0,None,0.0
178600.0,31700,Beauzelle,Appartement,57.0,3.0,None,0.0
340000.0,31700,Beauzelle,Maison,94.0,4.0,sols,631.0
133650.0,31700,Beauzelle,Appartement,42.0,2.0,None,0.0
310000.0,31700,Beauzelle,Appartement,93.0,4.0,None,0.0
371000.0,31700,Beauzelle,Maison,95.0,5.0,sols,393.0
280000.0,31700,Beauzelle,Maison,90.0,5.0,sols,247.0
280000.0,31700,Beauzelle,Maison,90.0,4.0,sols,372.0
317000.0,31700,Beauzelle,Maison,80.0,4.0,sols,576.0
187050.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0
319610.0,31700,Beauzelle,Maison,114.0,5.0,None,0.0
120000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0
440000.0,31700,Beauzelle,Maison,110.0,4.0,sols,920.0
360000.0,31700,Beauzelle,Maison,80.0,4.0,sols,504.0
129250.0,31700,Beauzelle,Appartement,40.0,2.0,None,0.0
550000.0,31700,Beauzelle,Maison,170.0,5.0,sols,472.0
349000.0,31700,Beauzelle,Maison,90.0,4.0,sols,227.0
340000.0,31700,Beauzelle,Maison,80.0,4.0,sols,540.0
160000.0,31700,Beauzelle,Appartement,62.0,3.0,None,0.0
44000.0,31700,Beauzelle,Appartement,60.0,3.0,None,0.0
415000.0,31700,Beauzelle,Maison,95.0,4.0,sols,837.0
327180.0,31700,Beauzelle,Maison,88.0,5.0,sols,210.0
172000.0,31700,Beauzelle,Appartement,90.0,4.0,None,0.0
168000.0,31700,Beauzelle,Appartement,66.0,3.0,None,0.0
135000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0
132000.0,31700,Beauzelle,Appartement,45.0,2.0,None,0.0
145950.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0
470830.0,31700,Beauzelle,Maison,109.0,5.0,sols,741.0
199920.0,31700,Beauzelle,Maison,89.0,4.0,sols,158.0
156000.0,31700,Beauzelle,Appartement,53.0,3.0,None,0.0
285000.0,31700,Beauzelle,Maison,101.0,4.0,sols,122.0
180000.0,31700,Beauzelle,Appartement,65.0,3.0,None,0.0
298100.0,31700,Beauzelle,Maison,86.0,4.0,sols,158.0
382900.0,31700,Beauzelle,Maison,88.0,4.0,sols,717.0
210000.0,31700,Beauzelle,Appartement,66.0,3.0,None,0.0
1150000.0,31700,Beauzelle,Maison,240.0,5.0,sols,1246.0
220000.0,31700,Beauzelle,Appartement,61.0,3.0,None,0.0
396250.0,31700,Beauzelle,Maison,109.0,5.0,sols,719.0
249100.0,31700,Beauzelle,Appartement,70.0,3.0,None,0.0
628863.4,31700,Beauzelle,Maison,109.0,5.0,sols,719.0
133150.0,31700,Beauzelle,Appartement,49.0,2.0,None,0.0
284000.0,31700,Beauzelle,Maison,79.0,4.0,sols,380.0
180000.0,31700,Beauzelle,Maison,60.0,3.0,sols,263.0
187500.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0
500000.0,31700,Beauzelle,Maison,154.0,7.0,None,0.0
260000.0,31700,Beauzelle,Appartement,87.0,4.0,None,0.0
126000.0,31700,Beauzelle,Appartement,45.0,2.0,None,0.0
226000.0,31700,Beauzelle,Appartement,83.0,4.0,None,0.0
189000.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0
215560.0,31700,Beauzelle,Appartement,63.0,3.0,None,0.0
250000.0,31700,Beauzelle,Maison,90.0,5.0,sols,251.0
118000.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0
120000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0
