valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
236250.0,31160,Couret,Maison,121.0,4.0,sols,745.0
132000.0,31160,Couret,Maison,46.0,2.0,terrains d'agrément,1149.0
60000.0,31160,Couret,Maison,106.0,3.0,sols,350.0
190000.0,31160,Couret,Maison,112.0,4.0,sols,565.0
235000.0,31470,Saiguède,Maison,85.0,3.0,sols,600.0
255050.0,31470,Saiguède,Maison,106.0,5.0,sols,500.0
467550.0,31470,Saiguède,Maison,168.0,6.0,sols,1590.0
372000.0,31470,Saiguède,Maison,105.0,4.0,sols,1000.0
273850.0,31470,Saiguède,Maison,96.0,4.0,sols,801.0
255000.0,31470,Saiguède,Maison,88.0,4.0,sols,1114.0
200000.0,31470,Saiguède,Maison,78.0,3.0,jardins,1000.0
260000.0,31230,Mauvezin,Maison,135.0,3.0,sols,1855.0
420000.0,31700,Beauzelle,Maison,86.0,4.0,sols,1125.0
229230.0,31700,Beauzelle,Maison,67.0,3.0,sols,138.0
450000.0,31700,Beauzelle,Maison,145.0,4.0,sols,656.0
411000.0,31700,Beauzelle,Maison,115.0,5.0,sols,640.0
370000.0,31700,Beauzelle,Maison,88.0,4.0,sols,448.0
353765.0,31700,Beauzelle,Maison,116.0,5.0,sols,390.0
260100.0,31700,Beauzelle,Maison,85.0,5.0,sols,408.0
421000.0,31700,Beauzelle,Maison,107.0,5.0,sols,599.0
323940.0,31700,Beauzelle,Maison,91.0,4.0,sols,205.0
375150.0,31700,Beauzelle,Maison,90.0,3.0,sols,653.0
512040.0,31700,Beauzelle,Maison,125.0,5.0,sols,651.0
340000.0,31700,Beauzelle,Maison,94.0,4.0,sols,631.0
371000.0,31700,Beauzelle,Maison,95.0,5.0,sols,393.0
280000.0,31700,Beauzelle,Maison,90.0,5.0,sols,247.0
280000.0,31700,Beauzelle,Maison,90.0,4.0,sols,372.0
317000.0,31700,Beauzelle,Maison,80.0,4.0,sols,576.0
319610.0,31700,Beauzelle,Maison,114.0,5.0,,0.0
440000.0,31700,Beauzelle,Maison,110.0,4.0,sols,920.0
360000.0,31700,Beauzelle,Maison,80.0,4.0,sols,504.0
550000.0,31700,Beauzelle,Maison,170.0,5.0,sols,472.0
349000.0,31700,Beauzelle,Maison,90.0,4.0,sols,227.0
340000.0,31700,Beauzelle,Maison,80.0,4.0,sols,540.0
415000.0,31700,Beauzelle,Maison,95.0,4.0,sols,837.0
327180.0,31700,Beauzelle,Maison,88.0,5.0,sols,210.0
470830.0,31700,Beauzelle,Maison,109.0,5.0,sols,741.0
199920.0,31700,Beauzelle,Maison,89.0,4.0,sols,158.0
285000.0,31700,Beauzelle,Maison,101.0,4.0,sols,122.0
298100.0,31700,Beauzelle,Maison,86.0,4.0,sols,158.0
382900.0,31700,Beauzelle,Maison,88.0,4.0,sols,717.0
1150000.0,31700,Beauzelle,Maison,240.0,5.0,sols,1246.0
396250.0,31700,Beauzelle,Maison,109.0,5.0,sols,719.0
628863.4,31700,Beauzelle,Maison,109.0,5.0,sols,719.0
284000.0,31700,Beauzelle,Maison,79.0,4.0,sols,380.0
180000.0,31700,Beauzelle,Maison,60.0,3.0,sols,263.0
500000.0,31700,Beauzelle,Maison,154.0,7.0,,0.0
250000.0,31700,Beauzelle,Maison,90.0,5.0,sols,251.0
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0
350190.0,31170,Tournefeuille,Maison,105.0,5.0,,0.0
341150.0,31170,Tournefeuille,Maison,114.0,5.0,sols,581.0
322300.0,31170,Tournefeuille,Maison,85.0,4.0,sols,397.0
460100.0,31170,Tournefeuille,Maison,169.0,6.0,sols,652.0
216280.0,31170,Tournefeuille,Maison,70.0,3.0,,0.0
205000.0,31170,Tournefeuille,Maison,46.0,3.0,sols,392.0
534870.0,31170,Tournefeuille,Maison,148.0,5.0,sols,604.0
237000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,172.0
345000.0,31170,Tournefeuille,Maison,95.0,4.0,sols,642.0
2300000.0,31170,Tournefeuille,Maison,116.0,4.0,terrains d'agrément,1394.0
260000.0,31170,Tournefeuille,Maison,79.0,4.0,sols,333.0
630050.0,31170,Tournefeuille,Maison,180.0,6.0,sols,665.0
413500.0,31170,Tournefeuille,Maison,122.0,5.0,,0.0
626200.0,31170,Tournefeuille,Maison,192.0,7.0,terrains d'agrément,728.0
675010.0,31170,Tournefeuille,Maison,173.0,6.0,sols,1296.0
440150.0,31170,Tournefeuille,Maison,134.0,5.0,sols,254.0
359000.0,31170,Tournefeuille,Maison,85.0,4.0,terrains d'agrément,510.0
317310.0,31170,Tournefeuille,Maison,83.0,4.0,sols,438.0
417019.0,31170,Tournefeuille,Maison,115.0,5.0,sols,462.0
350000.0,31170,Tournefeuille,Maison,110.0,4.0,sols,516.0
346650.0,31170,Tournefeuille,Maison,94.0,4.0,sols,294.0
319000.0,31170,Tournefeuille,Maison,105.0,5.0,sols,610.0
398750.0,31170,Tournefeuille,Maison,100.0,6.0,sols,982.0
336000.0,31170,Tournefeuille,Maison,90.0,4.0,sols,459.0
650000.0,31170,Tournefeuille,Maison,63.0,4.0,terres,1324.0
277100.0,31170,Tournefeuille,Maison,89.0,4.0,,0.0
224990.0,31170,Tournefeuille,Maison,82.0,4.0,sols,162.0
480070.0,31170,Tournefeuille,Maison,160.0,6.0,sols,540.0
384930.0,31170,Tournefeuille,Maison,79.0,3.0,sols,883.0
356000.0,31170,Tournefeuille,Maison,85.0,4.0,,0.0
407000.0,31170,Tournefeuille,Maison,109.0,4.0,sols,633.0
550160.0,31170,Tournefeuille,Maison,139.0,4.0,sols,1004.0
664500.0,31170,Tournefeuille,Maison,152.0,5.0,sols,891.0
407200.0,31170,Tournefeuille,Maison,129.0,4.0,sols,602.0
300000.0,31170,Tournefeuille,Maison,90.0,4.0,sols,701.0
610830.0,31170,Tournefeuille,Maison,148.0,6.0,sols,1000.0
465932.0,31170,Tournefeuille,Maison,132.0,6.0,sols,643.0
354000.0,31170,Tournefeuille,Maison,89.0,4.0,sols,646.0
286500.0,31170,Tournefeuille,Maison,98.0,4.0,sols,232.0
295000.0,31170,Tournefeuille,Maison,122.0,5.0,,0.0
395565.0,31170,Tournefeuille,Maison,100.0,8.0,sols,597.0
407000.0,31170,Tournefeuille,Maison,92.0,4.0,sols,519.0
130500.0,31170,Tournefeuille,Maison,138.0,6.0,sols,658.0
