valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,prix_mcarre
236250.0,31160,Couret,Maison,121.0,4.0,sols,745.0,1952.4793388429753
132000.0,31160,Couret,Maison,46.0,2.0,terrains d'agrément,1149.0,2869.5652173913045
60000.0,31160,Couret,Maison,106.0,3.0,sols,350.0,566.0377358490566
190000.0,31160,Couret,Maison,112.0,4.0,sols,565.0,1696.4285714285713
235000.0,31470,Saiguède,Maison,85.0,3.0,sols,600.0,2764.705882352941
255050.0,31470,Saiguède,Maison,106.0,5.0,sols,500.0,2406.132075471698
467550.0,31470,Saiguède,Maison,168.0,6.0,sols,1590.0,2783.035714285714
372000.0,31470,Saiguède,Maison,105.0,4.0,sols,1000.0,3542.8571428571427
273850.0,31470,Saiguède,Maison,96.0,4.0,sols,801.0,2852.6041666666665
255000.0,31470,Saiguède,Maison,88.0,4.0,sols,1114.0,2897.7272727272725
200000.0,31470,Saiguède,Maison,78.0,3.0,jardins,1000.0,2564.102564102564
260000.0,31230,Mauvezin,Maison,135.0,3.0,sols,1855.0,1925.9259259259259
420000.0,31700,Beauzelle,Maison,86.0,4.0,sols,1125.0,4883.720930232558
229230.0,31700,Beauzelle,Maison,67.0,3.0,sols,138.0,3421.3432835820895
450000.0,31700,Beauzelle,Maison,145.0,4.0,sols,656.0,3103.448275862069
411000.0,31700,Beauzelle,Maison,115.0,5.0,sols,640.0,3573.913043478261
370000.0,31700,Beauzelle,Maison,88.0,4.0,sols,448.0,4204.545454545455
353765.0,31700,Beauzelle,Maison,116.0,5.0,sols,390.0,3049.698275862069
260100.0,31700,Beauzelle,Maison,85.0,5.0,sols,408.0,3060.0
421000.0,31700,Beauzelle,Maison,107.0,5.0,sols,599.0,3934.5794392523367
323940.0,31700,Beauzelle,Maison,91.0,4.0,sols,205.0,3559.78021978022
375150.0,31700,Beauzelle,Maison,90.0,3.0,sols,653.0,4168.333333333333
512040.0,31700,Beauzelle,Maison,125.0,5.0,sols,651.0,4096.32
340000.0,31700,Beauzelle,Maison,94.0,4.0,sols,631.0,3617.021276595745
371000.0,31700,Beauzelle,Maison,95.0,5.0,sols,393.0,3905.2631578947367
280000.0,31700,Beauzelle,Maison,90.0,5.0,sols,247.0,3111.1111111111113
280000.0,31700,Beauzelle,Maison,90.0,4.0,sols,372.0,3111.1111111111113
317000.0,31700,Beauzelle,Maison,80.0,4.0,sols,576.0,3962.5
319610.0,31700,Beauzelle,Maison,114.0,5.0,,0.0,2803.59649122807
440000.0,31700,Beauzelle,Maison,110.0,4.0,sols,920.0,4000.0
360000.0,31700,Beauzelle,Maison,80.0,4.0,sols,504.0,4500.0
550000.0,31700,Beauzelle,Maison,170.0,5.0,sols,472.0,3235.294117647059
349000.0,31700,Beauzelle,Maison,90.0,4.0,sols,227.0,3877.777777777778
340000.0,31700,Beauzelle,Maison,80.0,4.0,sols,540.0,4250.0
415000.0,31700,Beauzelle,Maison,95.0,4.0,sols,837.0,4368.421052631579
327180.0,31700,Beauzelle,Maison,88.0,5.0,sols,210.0,3717.9545454545455
470830.0,31700,Beauzelle,Maison,109.0,5.0,sols,741.0,4319.54128440367
199920.0,31700,Beauzelle,Maison,89.0,4.0,sols,158.0,2246.2921348314608
285000.0,31700,Beauzelle,Maison,101.0,4.0,sols,122.0,2821.7821782178216
298100.0,31700,Beauzelle,Maison,86.0,4.0,sols,158.0,3466.279069767442
382900.0,31700,Beauzelle,Maison,88.0,4.0,sols,717.0,4351.136363636364
396250.0,31700,Beauzelle,Maison,109.0,5.0,sols,719.0,3635.321100917431
284000.0,31700,Beauzelle,Maison,79.0,4.0,sols,380.0,3594.9367088607596
180000.0,31700,Beauzelle,Maison,60.0,3.0,sols,263.0,3000.0
500000.0,31700,Beauzelle,Maison,154.0,7.0,,0.0,3246.753246753247
250000.0,31700,Beauzelle,Maison,90.0,5.0,sols,251.0,2777.777777777778
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0,3816.793893129771
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0,3543.623188405797
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0,3959.3283582089553
350190.0,31170,Tournefeuille,Maison,105.0,5.0,,0.0,3335.1428571428573
341150.0,31170,Tournefeuille,Maison,114.0,5.0,sols,581.0,2992.5438596491226
322300.0,31170,Tournefeuille,Maison,85.0,4.0,sols,397.0,3791.764705882353
460100.0,31170,Tournefeuille,Maison,169.0,6.0,sols,652.0,2722.4852071005917
216280.0,31170,Tournefeuille,Maison,70.0,3.0,,0.0,3089.714285714286
205000.0,31170,Tournefeuille,Maison,46.0,3.0,sols,392.0,4456.521739130435
534870.0,31170,Tournefeuille,Maison,148.0,5.0,sols,604.0,3613.9864864864867
237000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,172.0,2890.243902439024
345000.0,31170,Tournefeuille,Maison,95.0,4.0,sols,642.0,3631.5789473684213
260000.0,31170,Tournefeuille,Maison,79.0,4.0,sols,333.0,3291.1392405063293
630050.0,31170,Tournefeuille,Maison,180.0,6.0,sols,665.0,3500.277777777778
413500.0,31170,Tournefeuille,Maison,122.0,5.0,,0.0,3389.344262295082
626200.0,31170,Tournefeuille,Maison,192.0,7.0,terrains d'agrément,728.0,3261.4583333333335
440150.0,31170,Tournefeuille,Maison,134.0,5.0,sols,254.0,3284.7014925373132
359000.0,31170,Tournefeuille,Maison,85.0,4.0,terrains d'agrément,510.0,4223.529411764706
317310.0,31170,Tournefeuille,Maison,83.0,4.0,sols,438.0,3823.012048192771
417019.0,31170,Tournefeuille,Maison,115.0,5.0,sols,462.0,3626.2521739130434
350000.0,31170,Tournefeuille,Maison,110.0,4.0,sols,516.0,3181.818181818182
346650.0,31170,Tournefeuille,Maison,94.0,4.0,sols,294.0,3687.7659574468084
319000.0,31170,Tournefeuille,Maison,105.0,5.0,sols,610.0,3038.095238095238
398750.0,31170,Tournefeuille,Maison,100.0,6.0,sols,982.0,3987.5
336000.0,31170,Tournefeuille,Maison,90.0,4.0,sols,459.0,3733.3333333333335
277100.0,31170,Tournefeuille,Maison,89.0,4.0,,0.0,3113.483146067416
224990.0,31170,Tournefeuille,Maison,82.0,4.0,sols,162.0,2743.7804878048782
480070.0,31170,Tournefeuille,Maison,160.0,6.0,sols,540.0,3000.4375
384930.0,31170,Tournefeuille,Maison,79.0,3.0,sols,883.0,4872.53164556962
356000.0,31170,Tournefeuille,Maison,85.0,4.0,,0.0,4188.235294117647
407000.0,31170,Tournefeuille,Maison,109.0,4.0,sols,633.0,3733.9449541284403
