valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur,log_valeur_fonciere
373350.0,31860,Maison,80.0,4.0,730.0,1,12.830274274912115
225000.0,31860,Maison,85.0,4.0,0.0,0,12.323860125621126
315000.0,31860,Maison,100.0,4.0,1372.0,1,12.660331092405906
206350.0,31860,Maison,84.0,4.0,423.0,1,12.237333881304192
354365.0,31430,Maison,200.0,2.0,2100.0,1,12.778085556316253
324760.0,31470,Maison,97.0,4.0,810.0,1,12.690844806168588
324635.0,31470,Maison,171.0,5.0,488.0,1,12.690459833643171
340000.0,31470,Maison,92.0,4.0,2492.0,1,12.73670383776449
257000.0,31470,Maison,89.0,4.0,340.0,1,12.456835254920371
106885.0,31470,Maison,97.0,4.0,1000.0,1,11.57951812491936
446700.0,31470,Maison,167.0,6.0,0.0,0,13.009644745976612
463000.0,31470,Maison,127.0,4.0,500.0,1,13.045484492893253
475000.0,31470,Maison,160.0,6.0,1200.0,1,13.07107218827772
335500.0,31470,Maison,110.0,5.0,900.0,1,12.723380216015363
266600.0,31470,Maison,79.0,4.0,938.0,1,12.493508437657445
225000.0,31470,Maison,95.0,4.0,484.0,1,12.323860125621126
403355.0,31470,Maison,123.0,5.0,813.0,1,12.907574825672853
390000.0,31470,Maison,81.0,2.0,1854.0,1,12.873904582205107
332360.0,31470,Maison,84.0,4.0,1500.0,1,12.713977006560045
168000.0,31470,Maison,67.0,4.0,2744.0,1,12.031725210748633
240450.0,31380,Maison,93.0,4.0,0.0,0,12.390271605565948
331000.0,31380,Maison,97.0,4.0,500.0,1,12.709876675502672
433000.0,31380,Maison,165.0,6.0,0.0,0,12.978495316450783
298050.0,31380,Maison,96.0,4.0,582.0,1,12.605019891784199
410000.0,31380,Maison,96.0,4.0,1000.0,1,12.923914877701906
341000.0,31380,Maison,127.0,6.0,1000.0,1,12.739640688812674
175000.0,31380,Maison,78.0,3.0,816.0,1,12.07254696717504
120000.0,31380,Maison,78.0,3.0,816.0,1,11.695255355062795
437500.0,31380,Maison,120.0,5.0,936.0,1,12.988834270491479
374800.0,31380,Maison,151.0,5.0,1049.0,1,12.834150497432493
352000.0,31380,Maison,138.0,4.0,1205.0,1,12.77138929548529
352850.0,31380,Maison,105.0,5.0,265.0,1,12.773801150490428
214000.0,31380,Maison,117.0,5.0,1000.0,1,12.273735966890268
465900.0,31380,Maison,130.0,4.0,559.0,1,13.05172844418593
404500.0,31380,Maison,95.0,5.0,1204.0,1,12.910409487665515
259100.0,31380,Maison,84.0,4.0,341.0,1,12.464973226056454
249000.0,31380,Maison,78.0,4.0,608.0,1,12.425212191503038
366290.0,31380,Maison,98.0,4.0,1200.0,1,12.811183378440488
252200.0,31460,Maison,30.0,1.0,125.0,1,12.437981667612153
210000.0,31460,Maison,160.0,4.0,724.0,1,12.25486757159303
145000.0,31460,Maison,120.0,4.0,115.0,1,11.884495917930655
389630.0,31590,Maison,184.0,5.0,120.0,1,12.872955416373589
195000.0,31590,Maison,60.0,2.0,458.0,1,12.180759965737863
72000.0,31590,Maison,108.0,4.0,911.0,1,11.184435286790631
190900.0,31390,Maison,61.0,3.0,1000.0,1,12.159510248044802
112600.0,31390,Maison,90.0,3.0,240.0,1,11.631605875642963
196380.0,31390,Maison,70.0,3.0,600.0,1,12.187811928878562
244000.0,31390,Maison,94.0,4.0,756.0,1,12.404927602627597
140100.0,31390,Maison,80.0,4.0,1156.0,1,11.850118870058369
187490.0,31390,Maison,60.0,2.0,432.0,1,12.141486123240565
258700.0,31390,Maison,110.0,3.0,1093.0,1,12.463428233647901
289700.0,31390,Maison,102.0,5.0,2011.0,1,12.576604635598223
188700.0,31390,Maison,90.0,4.0,265.0,1,12.147919030759663
188700.0,31390,Maison,90.0,4.0,265.0,1,12.147919030759663
260000.0,31390,Maison,105.0,5.0,2176.0,1,12.468440756144114
60000.0,31390,Maison,50.0,4.0,775.0,1,11.002116507732017
205000.0,31110,Maison,120.0,3.0,68.0,1,12.230770136157428
228400.0,31310,Maison,97.0,4.0,1084.0,1,12.33885813503812
266600.0,31310,Maison,97.0,4.0,1551.0,1,12.493508437657445
224900.0,31310,Maison,77.0,3.0,500.0,1,12.323415584358154
48000.0,31310,Maison,145.0,4.0,112.0,1,10.778977123006351
133150.0,31310,Maison,65.0,2.0,165.0,1,11.799239101540575
277100.0,31310,Maison,88.0,5.0,325.0,1,12.532137339650044
172800.0,31310,Maison,146.0,4.0,205.0,1,12.059895922372384
253700.0,31110,Maison,120.0,4.0,68.0,1,12.443911687242986
113910.0,31110,Maison,42.0,3.0,701.0,1,11.643172720715928
110000.0,31110,Maison,34.0,2.0,149.0,1,11.608244735642321
50000.0,31110,Maison,60.0,3.0,156.0,1,10.819798284210286
221500.0,31110,Maison,92.0,6.0,800.0,1,12.308182383129823
248850.0,31110,Maison,78.0,4.0,500.0,1,12.424609602763658
253800.0,31110,Maison,109.0,5.0,837.0,1,12.444305774364985
375000.0,31110,Maison,129.0,5.0,603.0,1,12.834683971615659
287800.0,31460,Maison,105.0,4.0,1000.0,1,12.57002454806453
272250.0,31460,Maison,105.0,4.0,835.0,1,12.514479713883043
115000.0,31460,Maison,67.0,4.0,1753.0,1,11.652696102959753
154600.0,31460,Maison,110.0,3.0,140.0,1,11.948602883419843
110000.0,31460,Maison,67.0,4.0,1510.0,1,11.608244735642321
206500.0,31210,Maison,105.0,4.0,800.0,1,12.238060533986511
100000.0,31210,Maison,68.0,3.0,800.0,1,11.51293546492023
150000.0,31210,Maison,62.0,3.0,1172.0,1,11.918397239722838
50000.0,31210,Maison,59.0,2.0,3278.0,1,10.819798284210286
137000.0,31210,Maison,79.0,4.0,1000.0,1,11.827743504053695
194000.0,31210,Maison,131.0,5.0,1002.0,1,12.175618592671356
171950.0,31210,Maison,147.0,5.0,753.0,1,12.054964831487585
194000.0,31210,Maison,120.0,4.0,582.0,1,12.175618592671356
210000.0,31210,Maison,87.0,4.0,1540.0,1,12.25486757159303
337000.0,31210,Maison,198.0,6.0,1892.0,1,12.727841176689147
55000.0,31370,Maison,97.0,4.0,1100.0,1,10.915106645867503
349900.0,31370,Maison,158.0,3.0,1137.0,1,12.765405536311112
279000.0,31540,Maison,158.0,4.0,1016.0,1,12.53897064502647
34090.0,31440,Maison,125.0,4.0,237.0,1,10.436788698817288
109000.0,31440,Maison,84.0,3.0,207.0,1,11.599112335481124
82900.0,31440,Maison,78.0,4.0,225.0,1,11.325402403776808
158000.0,31440,Maison,79.0,3.0,500.0,1,11.970356641102999
41500.0,31440,Maison,100.0,5.0,425.0,1,10.633472802314019
68610.0,31440,Maison,41.0,2.0,821.0,1,11.136208150713541
117000.0,31440,Maison,80.0,3.0,110.0,1,11.669937760751914
146000.0,31440,Maison,117.0,3.0,380.0,1,11.891368749982085
152750.0,31440,Maison,37.0,2.0,75.0,1,11.936564423657257
74500.0,31440,Maison,70.0,3.0,545.0,1,11.218567827096358
135000.0,31440,Maison,153.0,3.0,3417.0,1,11.813037464800539
30000.0,31440,Maison,56.0,3.0,65.0,1,10.308985993422082
89000.0,31440,Maison,69.0,1.0,3940.0,1,11.39640288460621
391220.0,31650,Maison,77.0,4.0,384.0,1,12.877027896683622
301300.0,31650,Maison,78.0,4.0,202.0,1,12.615865044064096
445950.0,31650,Maison,119.0,5.0,698.0,1,13.007964359495697
288550.0,31650,Maison,82.0,4.0,0.0,0,12.57262712573699
364000.0,31650,Maison,94.0,4.0,604.0,1,12.804911893867851
408800.0,31650,Maison,121.0,5.0,375.0,1,12.920983764052593
514920.0,31650,Maison,152.0,4.0,690.0,1,13.151768769820935
418380.0,31650,Maison,98.0,4.0,620.0,1,12.94414777961187
335630.0,31650,Maison,78.0,4.0,298.0,1,12.723767621180444
143000.0,31650,Maison,78.0,4.0,199.0,1,11.870606902224587
360500.0,31650,Maison,84.0,4.0,417.0,1,12.795250009628397
355000.0,31650,Maison,94.0,5.0,370.0,1,12.779875885354993
403500.0,31650,Maison,114.0,5.0,410.0,1,12.907934245003815
380000.0,31650,Maison,120.0,5.0,753.0,1,12.847929163278053
339250.0,31650,Maison,106.0,6.0,491.0,1,12.734495525371473
330000.0,31650,Maison,96.0,4.0,616.0,1,12.706850963741102
359280.0,31650,Maison,56.0,3.0,435.0,1,12.791860091102214
229000.0,31650,Maison,79.0,4.0,0.0,0,12.34148164933907
415971.0,31650,Maison,90.0,4.0,762.0,1,12.938373229285828
257000.0,31650,Maison,81.0,4.0,206.0,1,12.456835254920371
365800.0,31650,Maison,101.0,5.0,872.0,1,12.809844748669446
432370.0,31650,Maison,127.0,5.0,619.0,1,12.977039294967998
318782.0,31650,Maison,83.0,4.0,192.0,1,12.672265899507739
284800.0,31650,Maison,82.0,4.0,0.0,0,12.559545969749749
375350.0,31650,Maison,115.0,4.0,723.0,1,12.835616867177698
456180.0,31650,Maison,145.0,5.0,799.0,1,13.030644939565281
444000.0,31650,Maison,84.0,4.0,476.0,1,13.003582093664077
291830.0,31650,Maison,81.0,4.0,122.0,1,12.583930146576789
317520.0,31650,Maison,84.0,5.0,217.0,1,12.668299236859898
265000.0,31650,Maison,82.0,4.0,0.0,0,12.487488878546145
220000.0,31650,Maison,94.0,5.0,200.0,1,12.301387370778713
186600.0,31650,Maison,64.0,3.0,0.0,0,12.136727926437826
287950.0,31650,Maison,81.0,4.0,149.0,1,12.570545605753932
321000.0,31650,Maison,120.0,5.0,682.0,1,12.679199517372098
242613.0,31650,Maison,94.0,5.0,272.0,1,12.399226981988617
452000.0,31650,Maison,131.0,6.0,383.0,1,13.021439671201302
266700.0,31650,Maison,70.0,3.0,609.0,1,12.493883459694384
427500.0,31650,Maison,118.0,4.0,604.0,1,12.965711906537503
300000.0,31650,Maison,94.0,5.0,696.0,1,12.611541086966115
350000.0,31650,Maison,91.0,4.0,81.0,1,12.765691290604371
387500.0,31650,Maison,116.0,4.0,650.0,1,12.86747370841737
290000.0,31650,Maison,110.0,5.0,748.0,1,12.577639650232573
348100.0,31650,Maison,110.0,5.0,642.0,1,12.760247946533124
331700.0,31650,Maison,94.0,5.0,241.0,1,12.711989239702984
353710.0,31650,Maison,81.0,4.0,603.0,1,12.776235474512076
384155.0,31650,Maison,98.0,4.0,637.0,1,12.858803999072675
300000.0,31650,Maison,108.0,5.0,672.0,1,12.611541086966115
634500.0,31650,Maison,240.0,7.0,806.0,1,13.360594142179467
467500.0,31650,Maison,148.0,6.0,500.0,1,13.055156766746023
295100.0,31650,Maison,78.0,4.0,295.0,1,12.595072949607092
445000.0,31650,Maison,127.0,4.0,603.0,1,13.005831808336863
70000.0,31650,Maison,120.0,5.0,588.0,1,11.156264806643742
454440.0,31650,Maison,110.0,5.0,694.0,1,13.026823371191938
381850.0,31650,Maison,136.0,6.0,771.0,1,12.852785759142485
