valeur_fonciere,code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
277000.0,31800.0,180.0,5.0,2248.0,1
220900.0,31800.0,129.0,4.0,500.0,1
154600.0,31510.0,60.0,3.0,555.0,1
248000.0,31190.0,92.0,4.0,528.0,1
268000.0,31190.0,88.0,4.0,1370.0,1
46000.0,31190.0,54.0,3.0,72.0,1
240000.0,31190.0,142.0,4.0,5817.0,1
240000.0,31190.0,89.0,4.0,572.0,1
240000.0,31420.0,120.0,5.0,1500.0,1
98000.0,31420.0,96.0,4.0,340.0,1
175000.0,31420.0,117.0,3.0,2634.0,1
115000.0,31420.0,80.0,3.0,144.0,1
370000.0,31460.0,97.0,2.0,4099.0,1
231000.0,31460.0,188.0,7.0,2382.0,1
439900.0,31460.0,182.0,4.0,1000.0,1
285000.0,31460.0,188.0,6.0,3680.0,1
350700.0,31460.0,159.0,4.0,2096.0,1
239181.0,31460.0,100.0,5.0,719.0,1
286950.0,31460.0,113.0,5.0,756.0,1
269800.0,31460.0,93.0,4.0,754.0,1
282000.0,31460.0,97.0,4.0,773.0,1
320000.0,31460.0,108.0,4.0,1560.0,1
110000.0,31440.0,125.0,4.0,594.0,1
186850.0,31440.0,73.0,3.0,1056.0,1
203740.0,31440.0,101.0,4.0,500.0,1
135000.0,31440.0,86.0,3.0,510.0,1
118000.0,31440.0,65.0,3.0,880.0,1
108000.0,31440.0,35.0,2.0,300.0,1
170000.0,31440.0,90.0,3.0,517.0,1
315000.0,31370.0,118.0,5.0,1190.0,1
192000.0,31370.0,89.0,3.0,3200.0,1
126666.0,31370.0,68.0,2.0,4010.0,1
131400.0,31160.0,62.0,3.0,500.0,1
60000.0,31160.0,75.0,3.0,500.0,1
126000.0,31160.0,41.0,3.0,70.0,1
408000.0,31370.0,149.0,5.0,1000.0,1
233000.0,31370.0,83.0,4.0,1425.0,1
110000.0,31370.0,37.0,2.0,220.0,1
325700.0,31370.0,133.0,5.0,743.0,1
380000.0,31370.0,192.0,6.0,900.0,1
165000.0,31370.0,96.0,5.0,250.0,1
315280.0,31370.0,137.0,4.0,804.0,1
218000.0,31370.0,77.0,3.0,835.0,1
233520.0,31370.0,110.0,4.0,1111.0,1
270000.0,31370.0,96.0,5.0,1071.0,1
240000.0,31370.0,290.0,10.0,956.0,1
290000.0,31370.0,100.0,4.0,1000.0,1
362400.0,31370.0,146.0,5.0,1000.0,1
261600.0,31370.0,95.0,4.0,1178.0,1
